"Priyanka Ramrao Shirole",Maharashtra,Nashik,2206,0.2,Independent,28,Graduate,0,0,"",Journalist
"Vilas Madhukar Desale (patil)",Maharashtra,Nashik,3826,0.34,Independent,46,"10th Pass",25701660,0,"","Ice Cream Parlor Distribution And Retail"
"Sharad Damu Dhanrao",Maharashtra,Nashik,835,0.07,Independent,40,"12th Pass",165000,0,"",Agricultural
"Sudhir Shridhar Deshmukh",Maharashtra,Nashik,1881,0.17,Independent,58,"Post Graduate",15447971,500000,406|420|468|403|418|465|471|120B,"Advocate Business"
Nota,Maharashtra,Nashik,6980,0.62,"None of the Above",,,,,,
"Pavan Chandrakant Pawar",Maharashtra,Nashik,109981,9.81,"Vanchit Bahujan Aaghadi",38,Others,9091869,0,506|307|332|302|395|397|333|386|212|420|468|504|34|353|143|147|148|336|189|427|447|323|471,"Agricultural  And Civil Contractor"
"Sameer Magan Bhujbal",Maharashtra,Nashik,271395,24.21,"Nationalist Congress Party",45,"10th Pass",654659863,130481204,420|468|406|409|466|467|506|120B|109|34|447|465|471|143|147|427|186|188|149|336|352|504,Business
"Shivnath Vithoba Kasar",Maharashtra,Nashik,866,0.08,"Bahujan Mukti Party",54,"10th Pass",30000,0,"",Agriculture
"Zaffar Obaid",Jharkhand,Godda,17583,1.47,"Bahujan Samaj Party",46,Doctorate,873613,0,"","Self Employed"
"Noor Hassan",Jharkhand,Godda,2307,0.19,"Rashtriya Samta Party (Secular)",47,Graduate,2051330,0,"","Social Worker, Press"
"Nishikant Dubey",Jharkhand,Godda,637610,53.4,"Bharatiya Janata Party",47,Doctorate,462757500,0,171C|171G|379|153A|147|323|504|143|186|283|290|291|353|34,"Member of Parliment Godda Jharkhand"
"Madhusudan Ray",Jharkhand,Godda,6301,0.53,Independent,52,"10th Pass",871394,3585,"",Agriculture
"Mahesh Kumar Suman",Jharkhand,Godda,10354,0.87,Independent,55,"Post Graduate",220000,0,"","Advocate Practicing at Deoghar Court"
"K. Rangaiah",Jharkhand,Godda,16456,1.38,Independent,82,"Post Graduate",680000,0,"",Agriculture
"Birendra Kumar",Jharkhand,Godda,13613,1.14,Independent,36,"Post Graduate",410031,0,153A|153B|295A|505|120B,Student
Nota,Jharkhand,Godda,18683,1.56,"None of the Above",,,,,,
"Bajrangi Mahtha",Jharkhand,Godda,3023,0.25,"Bahujan Mukti Party",,,,,,
"Jitendra Kumar Barnwal",Jharkhand,Godda,2982,0.25,Independent,34,"12th Pass",1314140,353210,"","LIC Agent"
"Anup Kumar Sinha",Jharkhand,Godda,2534,0.21,Independent,43,Graduate,10895000,0,"",Business
"Asha Makade",Jharkhand,Godda,6580,0.55,"Pichhara Samaj Party United",49,Doctorate,10000,0,"",Consultancy
"Pradeep Yadav",Jharkhand,Godda,453383,37.97,"Jharkhand Vikas Morcha (Prajatantrik)",53,Graduate,14197149,0,506|171G|307|125|379|332|333|225|353|149|147|120B|148|188|143|341|323|504|427|224|144|283|117|34|109|154|151|152|290|291|186,Politics
"Murari Kapri",Jharkhand,Godda,2627,0.22,"Aam Adhikar Morcha",35,"8th Pass",3325367,1875000,"",Contractor
"Annadurai C N","Tamil Nadu",Tiruvannamalai,666272,57.85,"Dravida Munnetra Kazhagam",45,Graduate,134897466,32243604,"",Construction
"Kalasthri S","Tamil Nadu",Tiruvannamalai,1999,0.17,"All India Uzhavargal Uzhaippalargal Katchi",33,"Graduate Professional",553100,0,"",Advocate
"Rameshbabu R","Tamil Nadu",Tiruvannamalai,27503,2.39,"Naam Tamilar Katchi",41,"Post Graduate",10060000,850000,"","DENTAL DOCTOR"
"Annadurai T S","Tamil Nadu",Tiruvannamalai,937,0.08,Independent,40,"Graduate Professional",1634400,499000,"",
"Annadurai S","Tamil Nadu",Tiruvannamalai,1218,0.11,Independent,40,"Graduate Professional",1634400,499000,"",Agriculture
